Number of bedrooms,Number of bathrooms,Living area sqft,Number of schools nearby,Distance from the airport,Price
4,4.25,4390,2,55,1050000
3,2.25,1670,1,59,1020000
4,2.75,3610,2,79,982000
5,2.5,3260,2,72,755000
4,2.25,3190,2,55,750000
3,3,2630,2,77,738000
4,3,2370,1,72,735000
3,2.25,1490,3,51,735000
3,2.5,3580,1,50,725000
3,1.5,1200,2,72,718500
2,1.5,1640,1,71,710000
3,2.5,2440,3,76,710000
3,2.5,1660,3,76,700000
4,2.75,3190,2,64,687500
3,2.25,2400,2,67,672500
2,1,1110,3,73,665000
3,2.5,2610,3,63,665000
5,2.5,2500,3,66,661500
4,2.5,2540,1,70,652500
4,2.5,2770,3,69,641000
4,1.75,2420,3,55,602000
3,3.25,2310,1,69,589500
3,1.75,1960,2,63,561500
4,2.5,2710,2,61,560000
4,3.5,4150,2,62,550000
4,1.75,2860,1,73,530000
2,0.75,840,2,54,528000
5,1.75,1890,3,77,523460
1,1.25,1100,1,76,516500
2,1.5,1200,1,52,504200
2,1.5,1520,2,50,500000
4,1,1440,1,79,500000
3,2.5,2230,2,60,490000
4,2.75,2790,1,60,483453
2,1,1500,1,76,480000
4,2.5,2990,2,75,469900
4,2.5,3060,2,73,465000
4,2.25,2020,1,60,464900
4,2.5,2110,2,58,460000
4,3,2530,3,69,459000
4,2.75,2300,1,62,453000
2,1,1320,3,52,447000
2,1,1050,3,53,430000
3,2.5,2432,3,51,427000
3,1,1520,2,63,425000
4,2.25,2300,3,55,417000
3,1.75,2410,1,50,415000
3,2.5,1060,3,74,415000
3,2.75,2600,1,67,415000
3,2,1400,3,52,410000
3,1,2710,1,59,410000
3,2.5,2570,3,58,399950
5,1,1170,1,64,397000
4,2.5,3000,3,56,394000
4,2.5,1890,1,55,355000
2,2.25,1330,3,72,355000
3,1.75,2040,3,76,355000
5,1.75,2330,2,52,350000
3,1.75,1780,2,76,342000
4,1.75,2440,1,68,330000
5,2.75,2400,2,61,327000
4,2.5,2570,1,72,320000
6,4,3120,3,52,315000
3,1.5,1590,2,79,300000
1,1,700,3,51,295000
4,2,1350,3,58,288790
2,1,910,2,59,285000
1,1,690,3,69,280000
3,2.5,1630,1,52,279000
2,1,720,1,56,275500
2,1,700,2,78,260000
3,1.75,1650,2,71,259500
3,2.25,1715,3,58,257500
3,2.5,1720,1,59,255000
3,3,1670,1,51,246950
3,1.75,1400,3,55,235000
3,1.75,1950,1,67,235000
1,1.5,1170,2,74,235000
4,1,1390,3,69,234000
3,1.75,1010,3,67,230000
2,1.75,1110,1,58,229800
3,1,910,2,63,221000
2,1.75,1220,2,74,215500
2,1,940,3,64,212700
3,1,970,3,60,209950
2,1,1020,3,55,195000
2,1,900,2,68,191000
2,1,810,3,63,170000
3,1,1060,1,51,140000
3,4.25,2820,1,54,1600000
4,4.25,3500,2,62,1080000
4,2.5,2190,1,56,699900
2,1,1050,2,52,650000
4,2.5,3130,3,76,598000
5,2.5,2670,1,52,585000
3,2.5,1700,1,77,475000
3,1.5,1500,3,60,470000
3,1,1200,1,72,339900
3,1.75,1700,3,66,314500
4,1,1370,3,52,300000
3,1,1040,2,74,234000
2,1.75,1910,3,78,230000
3,2.25,2120,3,63,835000
2,1,840,3,62,530000
4,2.75,2950,3,60,402000
3,3.5,1360,2,58,397000
3,2,1610,3,58,345000
5,2.75,2130,3,73,325000
3,1,1800,1,70,265000
4,3.75,4350,3,74,2070000
5,4.25,4830,3,78,1930000
5,3.5,5000,2,55,1730000
5,3.25,4390,2,61,1510000
4,2.5,2680,1,55,1310000
3,1.75,2200,1,56,1230000
4,2,2120,1,72,1200000
3,3,3790,2,60,1170000
4,2.75,3330,1,71,1100000
4,1.75,2010,1,67,972000
4,3.25,3530,2,79,963000
4,2.5,3670,2,69,950000
2,2.5,1780,1,78,935000
5,2.75,2520,2,55,896000
4,2.5,3560,1,53,882566
4,2.75,3220,1,51,880000
4,1.5,1800,3,75,875000
3,2.5,2650,2,80,850000
4,2.5,3500,1,54,780000
5,3,2870,2,72,765000
4,2.5,3300,3,70,760000
4,2.25,2500,2,70,669500
3,2.5,3350,2,52,635000
3,2,1890,3,62,570000
3,2.25,2070,2,67,560000
3,2.25,1720,2,64,550000
4,1.5,2750,3,51,550000
3,2.5,1460,1,57,544000
3,1,1580,1,63,535000
4,2.25,1980,3,51,530000
3,2.5,2600,3,55,515000
4,3,3720,3,62,500000
4,1.75,2120,3,59,492650
3,2.25,2090,3,58,491950
3,2.25,1470,2,79,491500
4,3,2330,1,74,490000
4,3,2440,2,52,480000
3,1.75,3600,3,79,461000
3,2.5,1220,2,57,457000
4,2.5,2960,2,67,449000
4,2.25,2070,2,68,445800
2,1.5,1190,2,55,441000
3,2.5,3180,2,50,439000
4,2.5,2290,3,59,436500
4,2,1880,2,66,435000
2,2,1090,1,80,427500
2,1.75,1510,2,72,419000
1,1.5,1010,3,66,410000
5,3.25,2820,2,51,408000
2,1,870,3,58,406500
4,2.5,2570,2,73,397500
3,1.75,1300,2,75,385000
4,2.5,2700,2,61,383962
3,1,1320,1,60,370000
4,2.75,2140,3,68,359500
3,2.25,1370,1,61,355000
3,1,960,2,75,349810
2,1,970,3,71,345000
4,2.5,2280,2,66,345000
4,2.5,2230,2,63,337000
4,2.5,2340,1,68,330000
3,2.25,2310,2,65,327500
3,1,1010,2,69,308000
2,1,960,1,74,300000
3,2.5,1760,2,55,289950
4,2.25,1830,1,62,285000
2,2,1860,2,56,265000
4,2,1360,2,69,263400
3,1.75,1410,1,65,263000
2,1,1320,1,67,255000
3,2,1440,1,55,250000
3,1,950,1,65,248000
3,2.75,1300,2,58,245000
2,1.5,1068,1,56,243000
2,1,900,1,51,235000
2,1,1200,3,79,170000
2,1,930,3,74,100000
5,5.5,7050,2,75,3800000
3,2.25,3530,3,69,2370000
4,4.75,3970,3,63,2300000
4,2.75,3770,1,54,1700000
3,3.25,3140,3,65,1640000
4,2.75,2970,2,66,1570000
4,3.5,4270,2,51,1360000
6,2.75,2630,3,66,1300000
4,3.5,3400,1,67,1200000
4,2.5,3340,2,60,1150000
5,3.25,3350,1,50,1110000
3,2.75,3890,1,79,1080000
4,2.5,4570,1,52,1060000
4,3.5,3770,3,62,1020000
3,1,1640,1,57,1010000
4,1.75,2130,1,64,955500
4,1.5,2550,1,59,952500
5,5.5,5190,3,52,925000
4,3.5,4080,1,67,920000
5,3.5,3840,1,77,875000
4,3.25,4350,1,62,850000
4,2.75,3990,1,79,825000
3,2.25,2880,3,59,820000
4,2.25,2500,3,62,808000
3,3.5,3830,2,66,800000
5,2.5,3290,3,59,739900
2,2.25,2130,2,69,730000
4,2.5,2840,3,52,729032
3,1.75,1860,1,60,725000
3,2.5,2375,2,67,712000
3,2.5,2620,2,80,695000
3,2,2500,3,69,695000
4,2.5,2600,3,54,691500
3,2,2570,3,53,660000
4,2.5,3350,1,57,650000
2,2.25,1540,2,74,640000
3,2.5,2390,3,57,629800
4,3,2130,2,74,620000
4,1.75,1700,3,61,616000
2,2.5,2510,1,76,600000
5,2.25,2980,1,50,600000
2,1,910,1,53,600000
4,2.5,1820,1,80,595000
3,2,1410,3,54,590000
4,1,1630,1,56,581000
3,2.5,2200,2,74,580000
4,2.5,2590,1,79,570000
4,1,1410,3,53,563000
4,2.5,2440,1,78,548000
3,2.5,1530,3,73,545000
3,1.75,2050,3,75,540000
4,2.5,2180,2,69,540000
4,1.75,1420,2,78,535000
3,2.5,3660,1,54,530000
2,2.5,1160,2,79,525000
3,2.5,2010,3,78,515000
2,1,1050,1,74,515000
3,1.75,1750,2,50,510000
3,1.75,1990,1,56,507500
4,2.75,2200,2,63,505000
3,2.25,1600,3,67,502000
2,1,950,3,61,500000
5,3.25,3130,1,65,500000
4,2.75,2910,2,72,499990
3,2.25,2440,1,73,485000
4,1.75,1430,3,67,485000
3,2.25,1710,2,75,482000
3,2.25,1640,1,51,478000
4,3,2890,2,70,476000
3,2.5,1450,1,56,460000
2,1,1250,1,61,459500
3,1.75,1110,3,78,452000
3,1.75,1400,2,75,450000
4,2.5,2280,2,56,445000
3,2.5,2530,1,70,435000
4,1.5,1550,1,73,433000
4,2.5,2300,3,69,431000
3,1.5,1300,1,68,425000
3,2.5,1950,2,66,425000
4,2.5,2530,2,58,417838
4,1,1580,2,76,406000
2,1,800,3,61,402500
3,2,1240,3,52,401000
4,2.5,2701,1,63,399895
5,2.25,3740,1,56,392000
3,1.75,1040,1,73,382500
3,1.75,2530,3,66,375000
2,1,860,2,77,370000
3,3.5,2080,2,50,357500
3,2,1270,1,59,349500
2,1,1080,1,61,345000
3,2.25,1460,1,61,337000
2,2.5,1050,1,79,332888
3,2.5,1680,3,74,330000
4,1.75,2550,1,59,328950
4,2.5,1830,2,77,321000
3,2,2050,3,67,314500
3,1,1150,1,78,307000
3,2.25,1660,2,65,300000
3,2.75,2090,2,74,300000
4,2.5,2303,2,53,300000
3,1,1090,3,72,280000
1,0.75,370,2,61,276000
4,2.5,1970,1,63,274900
2,1,770,3,53,260000
3,2.25,1920,3,76,260000
3,2,1190,3,66,245000
3,2,1770,1,79,241000
3,1.5,1620,1,63,219950
3,1.75,1400,3,54,217500
3,1.75,1170,2,80,205000
1,1,590,2,72,202000
2,1,900,2,75,174000
3,1,1200,1,53,165050
2,1,820,1,62,102500
5,6.25,8020,3,63,3300000
4,2.5,4080,2,54,2290000
4,3.25,4040,3,63,2270000
3,3.5,4660,3,73,2150000
2,2.5,3180,1,60,1410000
4,1.75,2610,3,50,1300000
3,2.5,3280,2,80,1080000
4,3.5,3390,1,68,1050000
4,1.75,1440,3,65,1040000
6,4.5,3830,3,53,989000
3,4.5,3850,2,76,915000
4,2.25,1950,2,77,895000
4,1.75,1880,1,52,860000
5,3.25,3760,1,73,851000
3,3,2470,3,57,811000
4,2.5,2890,1,75,795000
2,1.5,1570,2,69,782000
2,1,1500,1,50,736000
3,3.75,2670,3,54,732000
4,2.25,2430,1,65,723000
4,3,3550,1,77,720000
3,2.5,2490,1,63,700000
3,1.5,1760,2,64,690000
5,2.25,2900,1,57,675000
5,2.5,2950,2,67,660500
4,2,2090,1,69,659000
3,1.75,2270,1,54,645000
4,2.5,2190,2,62,630000
3,3,1820,2,70,625000
3,2.25,2080,1,52,605000
4,2.25,2940,2,66,605000
5,2,2190,3,51,600000
4,3.5,2500,1,50,599950
3,2.25,1900,1,79,580000
3,1.75,2680,3,66,575000
4,2,1660,2,61,575000
3,2.5,2280,1,78,567500
3,2.5,1840,3,56,552000
4,2.75,2160,2,52,550000
3,2,1340,2,55,545000
3,2.25,1320,2,68,540000
3,1.75,2330,2,67,535000
2,1.75,1530,3,69,525000
3,1.75,1490,1,60,520000
5,2.25,2570,1,55,519000
3,1.75,1540,2,55,512031
2,1,900,2,53,496000
3,3,3700,2,58,489000
4,2.5,1540,2,60,484998
3,2.25,1550,2,78,481015
3,2,1470,3,63,480000
5,2.5,2160,1,67,480000
4,2.5,2040,1,62,475000
4,2.5,1850,2,54,475000
4,2,2100,2,79,475000
4,2.75,2620,3,50,475000
3,2,1660,1,58,453000
3,2.5,1900,1,62,435000
3,1,1520,2,71,415000
4,2,2370,1,50,411000
4,2.5,3002,2,68,394500
4,1.75,2400,1,75,389000
3,1.75,1730,1,56,355000
5,2.5,2450,3,50,345000
4,2.5,1954,1,50,340000
3,2.5,2390,1,77,339950
2,1.5,830,3,62,334500
4,2.5,2105,1,60,330000
4,2.5,2120,3,59,329950
2,1,700,1,52,310000
3,2.5,2242,1,57,309780
2,1,2160,1,58,305000
3,1,1580,3,77,305000
2,1,1010,1,50,300000
3,2.25,1520,2,59,275250
3,2.25,1450,3,57,274500
2,1.5,800,2,79,265050
4,3,1940,1,67,265000
5,1,1870,2,71,262000
4,2,1620,3,55,260000
4,2.5,2050,2,55,256000
4,2,2430,3,66,255000
4,2.25,1680,2,51,255000
2,1,1310,3,64,253000
3,2.25,1920,2,56,250000
3,1.75,1200,3,71,250000
3,2,1110,2,54,223000
5,1,1590,3,63,185000
4,2.5,1780,3,75,175000
2,1,1050,2,63,123000
4,4.25,5010,3,52,2350000
4,3.25,3930,3,55,1880000
3,2,2360,3,71,1760000
4,3.25,2980,3,57,1630000
5,3,3420,3,51,1200000
5,2.5,3580,1,79,1150000
3,2.5,2780,3,63,1140000
4,2.5,3160,2,69,1130000
4,3.75,5070,2,53,1100000
4,5,4110,1,50,1040000
4,3.5,4370,3,77,1030000
3,3.25,3620,2,80,1020000
4,2.5,2980,2,50,1010000
6,2.75,2520,2,72,975000
4,2,2490,1,73,940000
3,2.5,3230,2,50,850000
3,2,2470,3,53,850000
4,4.25,4930,1,71,835000
4,2.5,3150,3,58,815000
3,1.5,1520,1,76,810000
3,4,2080,2,72,715000
3,1.5,1380,2,54,650000
3,2.25,1980,3,79,640000
4,2.5,2360,3,56,633000
3,2,2300,1,64,610000
3,1.75,1630,1,66,609000
4,2.5,2800,3,59,605000
3,2.5,2610,1,74,605000
5,2.25,3000,2,61,600000
5,3,2190,1,69,588000
3,1.75,1530,3,51,575000
4,2.5,2230,1,61,565000
3,2.5,2950,3,61,554950
4,2.5,2020,3,56,554729
3,1,1240,3,60,529950
4,3,2590,3,66,519995
5,3.25,2740,1,51,515000
2,1.5,1930,3,60,509000
3,2.5,3316,1,63,490600
3,1.75,1530,1,67,474000
3,2.5,2250,2,80,445838
3,2.5,1930,2,63,439990
3,1.5,1810,2,53,430000
3,1.5,1400,1,50,425000
4,2.5,1700,3,51,410000
2,2.75,1350,3,62,405500
4,2.25,2230,3,55,400000
2,1.75,1410,3,69,399900
5,1.75,1840,1,66,395000
4,2.75,2640,2,66,395000
4,2,1900,2,63,390000
2,1,860,3,54,370000
2,1,870,1,60,357000
4,2.5,2040,2,65,345000
4,2.5,2300,2,62,342000
3,1,1390,1,76,341000
8,2.75,2790,3,74,340000
3,1.75,1830,2,66,312500
4,1.75,2600,2,75,304900
2,1,1190,2,78,295950
3,1,1440,1,74,290000
3,2.5,1520,3,67,288000
5,2.5,2270,3,71,285000
4,2.5,1890,3,61,280500
3,1,1740,2,55,267000
3,2,1180,2,79,265900
3,1,1020,1,55,265000
4,2.25,2060,1,61,264500
2,1.5,920,2,69,255000
3,1.75,1770,3,64,250000
3,1.75,1570,1,64,240000
4,1,1200,1,77,220000
4,1.75,2080,1,77,198000
2,0.75,660,2,59,100000
3,1.5,1300,2,54,625000
3,2.5,2320,1,62,600000
4,2.25,2920,2,63,1740000
4,2.5,2700,3,77,1200000
4,2.25,2110,2,71,825000
4,3,3130,1,63,671000
3,2.5,1540,2,68,499000
3,1.75,1470,2,67,459500
4,2.5,3160,3,70,1280000
2,1.75,1990,2,66,625000
3,1.75,1480,3,62,395000
3,2.5,3110,1,65,1640000
4,3.25,3770,2,56,1450000
4,3,5430,3,76,1360000
4,2.25,2360,3,80,1300000
3,2.5,3870,2,66,1280000
3,2.5,3540,3,70,888550
3,1.5,1820,3,72,875000
4,3,3040,1,70,870000
4,3.25,3990,2,66,866000
5,2.75,3595,1,65,861990
3,2.75,2760,1,57,821000
4,2,2600,1,50,780000
4,3.25,4100,1,75,775000
4,2.25,2350,1,51,747500
3,3.25,2030,3,53,685000
3,1.75,1880,2,60,681000
4,2.75,2330,3,66,680000
6,3,4050,3,74,670000
5,2.5,2860,2,66,670000
5,2,2800,1,54,665000
4,2.5,2690,3,74,645000
4,2,2530,1,67,631500
3,2.75,1830,1,53,593000
3,2,1860,3,66,588000
4,2.5,2400,2,79,575000
3,1,1890,3,61,570000
3,2,1640,1,65,570000
2,2,1580,1,59,558000
3,1.5,1740,2,66,555000
4,1,1660,1,65,548800
3,2.5,2040,1,63,542500
3,2.25,2590,3,59,538250
2,1.5,1130,2,69,536000
3,1.75,1320,1,65,530000
6,3.5,3000,3,72,527000
3,2.5,1420,3,57,510000
3,2.5,3030,1,56,509900
2,2.25,1060,2,55,505000
4,2,1700,1,56,500000
3,2.5,1720,2,76,500000
3,2.5,1910,1,67,494815
2,1,1290,1,70,494000
4,2.5,2286,2,53,481000
3,2.25,1680,3,64,480000
5,2.5,2510,3,75,475000
3,2.5,1990,1,51,450000
3,1.75,1480,2,76,450000
2,2,1240,2,65,445000
5,1.75,1650,1,64,443000
3,2,1490,3,76,437500
3,1.75,2220,2,78,437000
3,2.25,1620,3,67,420000
3,2.25,1450,2,53,410000
4,2.25,2340,3,76,404950
3,2.5,1920,3,78,391500
2,1,1190,1,71,382500
3,2.5,1601,1,73,378000
2,1.5,1260,1,74,374000
4,1.75,1590,3,60,373000
3,1.5,1800,2,71,360000
3,2.5,2370,3,71,351999
3,2.5,1450,3,62,339000
2,1.5,800,1,76,335950
3,2,2250,1,55,328000
3,1,1560,2,70,320000
3,1.75,2220,1,66,320000
3,1,1120,1,69,320000
4,3,2200,1,68,300000
3,1,930,1,68,300000
4,2.5,2090,1,74,300000
3,2.5,1520,1,66,296475
3,1.75,1940,2,72,295000
3,1.5,1640,3,61,295000
4,2.25,1995,2,54,266000
2,1,1500,2,59,245000
3,1,1390,2,77,230000
3,1.75,1140,3,64,230000
3,1,1230,3,75,229500
3,1,960,2,52,215000
3,1.5,1180,3,55,209950
3,1,1100,1,73,199990
2,1,1190,3,56,195000
2,1,1060,3,54,170500
4,5.25,6500,1,73,2460000
6,2.75,4710,3,77,2180000
3,2.5,3490,1,80,1680000
4,2.25,2890,2,70,1570000
4,3.5,3150,3,76,1210000
4,3.5,3960,2,70,1200000
3,2.5,3830,3,61,1150000
5,4,7320,3,58,1140000
3,2.25,2790,2,53,1130000
4,2.5,3180,1,65,1120000
2,2,2360,2,55,1090000
4,3.75,4740,3,53,1050000
4,2.75,2250,2,69,1050000
4,2.5,3130,3,66,999000
5,2.75,3500,3,63,970000
3,2.5,3480,1,62,950000
3,2.5,3180,3,64,900000
4,2.75,2310,3,78,890000
4,3.5,3110,2,55,875000
3,2.75,3176,3,66,819000
4,3.5,3370,3,70,812000
2,2.75,2700,3,68,810000
3,2.5,3420,3,52,789900
4,3.5,5270,3,56,782000
2,2.5,2560,2,70,780000
4,4,3010,3,62,765000
4,2.75,3090,2,79,760005
4,2.25,2410,3,75,720000
4,3,3580,3,58,711600
5,2.75,2510,3,77,695500
4,2.5,3220,3,52,690000
4,2.5,2610,3,60,674600
3,2.75,2830,2,76,673000
4,3,3720,2,66,650000
4,2.5,2850,1,55,645000
2,2.5,2290,3,66,630000
3,1.75,2050,2,75,623000
2,2,1170,2,50,613000
3,2.25,1900,2,77,600000
4,2.5,2250,3,68,600000
3,2,2560,3,78,599000
2,2,1570,3,55,592350
4,2.5,2630,1,70,585000
4,2.5,2130,1,53,580000
3,2.25,1940,3,51,580000
4,1.75,2790,2,73,568000
4,2.25,1950,2,78,560000
3,2.25,1820,1,76,557500
3,3.5,2490,2,63,550000
3,1.75,1070,3,77,542000
2,2.5,1785,1,62,530000
5,2.5,2820,1,80,527700
2,1.5,1920,2,79,517000
3,2.5,1810,1,78,513000
4,2.25,1900,3,70,485000
2,1,1060,1,78,480000
3,1,1340,1,77,479000
4,2.75,2530,3,79,469950
3,1.5,1830,1,62,468000
4,2.5,2620,2,71,460000
4,2.5,1910,3,62,458400
4,3.5,3440,1,74,455000
4,2.5,2680,2,68,449990
3,2,1860,3,65,440000
4,2.25,2570,2,71,439000
2,2,1270,2,72,438000
4,2.75,2230,3,67,435000
4,2.5,2150,1,55,435000
3,2,1550,3,57,430000
2,1,880,2,60,427550
4,1.75,1920,2,73,415000
3,1.75,1880,3,60,412000
4,2.25,2060,1,55,410000
4,2.5,2560,3,73,410000
3,2,1320,1,62,410000
3,1.5,1010,3,78,405000
4,1.75,1360,3,60,399500
3,1.75,1180,3,73,390000
3,2.25,2090,2,66,383000
4,2.5,1984,1,65,380000
3,2.5,2860,1,73,378500
3,1.75,1660,3,58,375000
3,1,1650,2,73,371500
3,1.75,1570,1,50,370000
4,1.75,2100,3,59,368000
5,3,1810,1,52,362000
2,1.75,1210,3,69,357562
4,2.75,3000,3,71,355000
3,2.25,2120,3,53,340000
3,2.25,2760,1,76,336000
4,2.5,2530,3,67,336000
3,2.5,2538,2,57,335606
4,2.5,2250,1,58,333490
3,2.25,2120,1,66,332000
3,2.25,2220,1,58,330000
3,1,1060,3,74,326500
2,1,800,1,67,325000
2,1,810,3,68,325000
3,3.25,1450,2,74,320000
2,1,1080,3,74,315000
4,2.5,1920,1,71,308950
4,2.5,2200,3,52,300000
3,1,1150,3,77,300000
3,2.25,1910,3,52,293000
3,1.5,1520,3,71,292600
2,1,770,2,72,277000
3,1,1400,3,68,267000
3,1.75,1550,1,76,255000
3,1.75,1140,3,66,250000
2,1.5,1090,1,73,249000
4,2.25,2600,3,70,245000
3,2.5,1600,1,69,245000
5,2.5,2340,2,66,235500
2,1,1020,2,54,235000
3,1.5,1460,1,67,232000
3,1.75,1200,2,69,228950
3,2,960,1,76,210000
3,1,1070,1,59,210000
3,1,1180,3,53,205000
3,1,1320,3,59,201500
3,1,910,3,66,190000
3,1,1040,2,53,183500
1,1,850,1,56,165000
3,1,1350,3,78,160000
3,1,1400,1,58,148226
2,1,630,1,65,148000
1,2,1150,3,62,115000
5,3,4290,2,66,2680000
5,4.75,5780,2,55,2320000
5,5.25,4830,3,77,1680000
6,4.5,4230,1,64,1470000
4,3.5,3550,1,54,1360000
4,2.5,2920,2,71,1250000
5,3.5,5430,1,71,1240000
4,3.75,4260,2,65,1070000
4,3.5,4440,3,57,1040000
5,4.5,4030,1,76,989000
4,2.5,2230,2,73,900000
3,2,2783,2,70,840000
4,1.75,2000,1,54,810000
4,2.25,3300,3,52,760000
4,1.75,2100,3,65,759000
4,2.5,3020,3,67,750000
4,2.75,2910,2,61,749950
3,2.75,2820,2,67,749000
4,2.75,2700,1,74,749000
2,2.5,2150,3,58,741500
4,2.5,3360,2,63,740000
3,1.75,2320,3,64,737500
2,2.25,2290,2,76,737000
4,3.25,4280,1,75,734950
4,2.5,3350,1,75,720500
3,1,1410,3,75,700000
4,3.5,3650,2,67,696000
4,2.75,3710,3,77,692500
3,2,1780,3,52,680000
4,2.75,2100,3,60,679000
3,1,1240,2,57,660000
4,2.5,2510,3,74,660000
4,2.75,3510,2,57,659950
4,2.5,3080,1,76,635000
3,1.75,1710,3,76,630000
4,1,1600,2,63,625000
3,1.75,3160,1,78,625000
3,2,2250,3,69,624800
3,2.5,2630,1,76,610000
3,3.25,1830,1,52,599950
7,2.5,2580,1,74,599000
4,3.25,3730,3,80,595000
4,2.5,2720,2,66,594950
3,2.5,2650,1,72,590000
3,2.5,2600,3,75,583000
3,1.75,1850,3,67,580000
6,3.75,4000,2,77,570000
3,3.25,2220,2,62,569000
3,2.5,2500,3,71,565000
4,2.5,2570,3,68,561000
3,2.5,1960,2,65,560000
2,1,1010,2,64,560000
3,2,1970,2,68,550000
4,1.75,2150,1,59,550000
4,1,1440,3,63,550000
3,2.5,2760,3,78,545000
3,2.5,3010,1,60,538000
3,2.5,1790,1,75,530000
4,2.75,2910,3,78,525000
4,1.75,1710,3,54,525000
4,2.5,3670,2,70,525000
3,1.75,2140,2,59,507000
2,1.75,1350,2,54,498800
3,2,2660,2,62,495000
4,2.5,2540,3,77,487000
4,2.5,3560,2,68,486000
5,2.75,2550,1,53,480000
4,2.25,2380,3,58,470000
4,2.5,2100,1,70,468000
4,2.5,1980,3,62,463000
5,2.5,2850,1,56,450000
3,2.5,1460,3,74,450000
3,2.25,1920,2,63,443000
3,1.5,1270,3,50,440000
4,2.5,2550,1,66,435000
2,1,1320,3,55,425000
3,1.75,1510,3,74,420000
4,1.5,1840,2,54,415000
4,3.5,3360,1,50,412000
3,1.75,1660,2,56,410000
5,3.25,3320,2,74,409124
3,2,1760,1,78,400000
5,2.75,1970,3,67,399950
2,1,930,2,52,395000
4,2.75,1970,1,63,395000
2,1,780,2,58,380000
3,2.5,1530,3,76,379000
3,2.25,1390,1,69,374950
3,1.5,1550,1,54,359000
3,2.5,1590,2,70,356000
3,1,1600,2,65,340000
3,1,1370,3,55,335500
1,1,730,1,52,321500
3,1.5,1460,3,66,310000
3,2.25,1980,1,73,309000
3,1,1450,2,57,306000
3,1.5,1800,1,50,305000
4,1.75,1820,3,61,300000
3,2.5,1460,2,75,299880
2,1,800,2,50,295000
3,1.5,1950,3,77,290000
5,1.5,1730,1,62,287000
4,1.75,1880,2,77,284000
3,1.5,1500,1,76,284000
4,2,2030,3,54,275000
3,1,1200,2,68,275000
4,2.5,1660,2,58,270000
4,1.75,1120,1,68,252000
3,1,990,1,71,250000
3,2.5,1610,3,60,245000
2,1.75,1460,2,68,237950
3,1.5,1940,3,59,232500
4,2.25,2010,2,55,229000
3,1,990,1,60,226550
4,1.5,1860,3,80,215000
3,1.75,1770,2,65,215000
3,1,1200,1,54,215000
2,1,840,1,77,187000
4,1,1600,1,59,154950
3,0.75,490,3,68,150000
3,1,960,1,76,137124
6,4.5,4800,3,73,1980000
4,3,4460,3,78,1910000
4,2.75,5470,3,57,1610000
5,4.25,6070,1,55,1550000
6,4.25,5720,3,76,1330000
3,3,3460,1,51,1250000
4,3.5,1800,2,80,958000
6,2.5,2640,2,68,880000
4,2.5,3360,3,71,879000
5,3,2960,1,80,875000
5,2.25,3480,2,52,860000
5,2,2310,3,68,850000
5,3.25,4230,2,60,847700
4,3.5,3840,3,69,840000
3,2.75,2220,3,63,800000
3,2.5,1370,2,52,797000
6,2.75,2980,2,55,775000
5,2.5,3000,3,64,770000
4,1.5,2130,1,71,749000
3,1.5,1830,1,76,740000
3,2.5,2820,1,70,735000
2,1.75,1950,1,53,725000
3,1.75,1690,1,60,725000
4,2.5,3340,2,59,720000
3,2.25,1810,1,70,713400
4,2.5,2870,1,71,710000
4,3.5,3310,2,78,695000
3,1.75,1920,2,55,675000
4,2.5,2390,3,65,675000
3,2.5,1420,1,66,670000
3,2,2320,2,61,657500
4,2.5,2640,1,80,657000
4,2.25,2170,2,51,655000
4,2,1840,3,65,639000
4,2.75,2600,2,67,610000
2,2.5,2410,1,55,600000
5,3.5,3340,2,73,592000
4,1,1140,2,71,569950
2,2,1670,1,62,554000
2,2,2930,3,64,545000
3,2.5,2060,3,59,545000
3,2,2800,2,50,540500
5,3.25,2850,2,53,535000
4,1.75,2280,2,53,525000
2,1.5,1340,1,75,525000
2,1,1240,3,73,505000
3,1.75,1640,3,57,500000
4,1.75,1520,3,78,499950
3,2,1880,1,58,475000
5,2.5,2690,1,65,469000
2,1,840,1,56,445000
4,2,1560,2,60,439000
4,2.5,2700,2,79,426500
2,2.5,1500,2,75,418000
4,1.75,2320,2,60,416100
3,1,1470,3,62,410000
4,2,2680,3,55,400000
3,2,3110,1,52,379900
4,1.5,1280,2,79,379000
4,2.5,2380,1,54,360000
3,2.5,2110,1,50,355000
4,1,1170,1,72,350000
4,2.5,2800,1,56,350000
4,2,1720,1,65,350000
3,2.5,1500,3,50,348000
3,1.75,3140,3,80,345000
2,1.5,1320,2,74,342500
3,2.25,1420,1,58,336500
3,2.5,2340,2,67,315000
3,1.5,1480,2,59,307150
4,2.5,1714,1,80,307000
2,2,970,2,59,303000
2,1,740,1,66,295000
3,2.25,1720,3,55,290256
2,1,670,3,52,279000
4,2.5,1889,3,70,277950
4,2.5,1830,2,65,275000
3,2.5,1550,1,68,273500
3,2.5,1530,1,79,265000
3,1.75,1580,3,73,263000
3,2.5,1490,3,50,260000
3,2,1440,3,55,250000
3,1,1010,2,70,250000
2,1,960,3,76,242000
3,2.25,1630,1,69,231500
4,2,2090,2,71,200000
2,1,860,2,70,195000
3,1,920,2,62,152000
3,1,1200,2,57,150000
2,1,740,2,65,114975
4,4.75,4575,2,73,2920000
8,2.75,4040,3,55,1650000
4,3.5,4410,1,62,1500000
3,3.25,3700,2,51,1480000
6,3.5,4860,1,59,1070000
